sr_no,HostTimestamp,X_mg,Y_mg,Z_mg,X_dps,Y_dps,Z_dps,move_type
20,352953,-50.0,25.0,1053.0,-3.9,-1.6,1.7,D
21,353019,-29.0,0.0,1010.0,-4.3,-2.8,3.3,D
22,353054,-25.0,-15.0,975.0,-4.2,-0.6,1.1,D
23,353083,-40.0,-9.0,968.0,3.9,-1.8,0.1,D
24,353143,-55.0,9.0,1043.0,3.8,0.5,0.0,D
25,353204,-59.0,21.0,1042.0,1.9,-3.0,0.9,D
26,353232,-54.0,20.0,1028.0,-2.9,-2.5,1.8,D
27,353293,-23.0,16.0,1005.0,-1.7,-1.8,1.8,D
28,353354,-32.0,0.0,1008.0,1.5,0.8,2.3,D
29,353518,-39.0,5.0,1016.0,2.5,-1.1,1.7,D
30,353518,-39.0,5.0,1016.0,2.5,0.2,2.3,D
31,353519,-38.0,14.0,1027.0,-0.2,-1.7,1.8,D
32,353594,-41.0,11.0,1032.0,-0.9,-2.1,3.4,D
33,353594,-41.0,11.0,1032.0,-2.3,-1.4,3.0,D
34,353653,-30.0,2.0,1015.0,1.6,-1.1,3.0,D
35,353683,-38.0,0.0,1020.0,0.8,1.1,2.5,D
36,353744,-38.0,-5.0,1023.0,0.0,0.2,1.6,D
37,353804,-48.0,3.0,1012.0,1.3,1.1,1.7,D
38,353833,-47.0,11.0,1031.0,1.6,-0.4,1.7,D
39,353894,-40.0,11.0,1004.0,-0.3,0.7,1.8,D
40,353954,-39.0,11.0,1034.0,1.1,0.2,2.2,D
41,353982,-43.0,10.0,1016.0,0.4,0.5,2.5,D
42,354044,-45.0,7.0,1017.0,-0.2,0.1,2.1,D
43,354103,-35.0,12.0,1034.0,0.7,-0.2,2.1,D
44,354132,-38.0,6.0,1015.0,-2.4,0.4,2.5,D
45,354193,-37.0,5.0,1013.0,0.2,0.3,1.8,D
46,354253,-42.0,5.0,1023.0,0.4,0.7,2.2,D
47,354283,-51.0,8.0,1018.0,0.1,0.9,2.1,D
48,354343,-52.0,8.0,1031.0,0.5,-0.8,1.8,D
49,354403,-41.0,6.0,1018.0,-0.9,0.4,2.1,D
50,354432,-38.0,6.0,1036.0,-0.9,-1.2,2.3,D
51,354493,-42.0,3.0,1018.0,-1.5,-1.1,2.6,D
52,354553,-53.0,-2.0,1024.0,-2.0,-2.4,2.1,D
53,354583,-44.0,-4.0,1006.0,-0.8,-2.0,2.0,D
54,354644,-45.0,0.0,1039.0,-1.6,-3.5,1.6,D
55,354705,-40.0,1.0,1015.0,0.7,-5.1,0.8,D
56,354733,-14.0,6.0,1036.0,-1.1,-3.2,1.2,D
0,2140389,-55.0,-970.0,-108.0,0.9,0.5,0.4,D
1,2140410,-19.0,-979.0,-79.0,0.7,-0.4,1.4,D
2,2140471,-62.0,-992.0,-97.0,-1.6,-3.9,5.3,D
3,2140531,-81.0,-997.0,-83.0,0.0,-0.4,5.3,D
4,2140561,-106.0,-985.0,-76.0,-2.2,-2.2,0.0,D
5,2140651,-47.0,-953.0,-78.0,-0.7,-6.9,-2.4,D
6,2140681,-65.0,-952.0,-58.0,-2.3,-4.9,2.2,D
7,2140711,-64.0,-956.0,-101.0,-1.2,-6.7,0.0,D
8,2140771,-79.0,-981.0,-98.0,2.6,-7.7,0.2,D
9,2140831,-108.0,-1028.0,-111.0,5.9,1.3,4.2,D
10,2140861,-78.0,-1013.0,-79.0,5.9,-4.5,1.6,D
11,2140921,-101.0,-1004.0,-78.0,3.9,-3.2,4.4,D
12,2140981,-92.0,-1006.0,-42.0,3.4,1.1,7.8,D
13,2141011,-106.0,-985.0,-71.0,0.7,0.3,3.2,D
14,2141071,-103.0,-976.0,-54.0,4.3,4.1,4.8,D
15,2141131,-37.0,-974.0,-38.0,7.6,-6.0,1.5,D
16,2141161,-46.0,-986.0,-89.0,2.6,-10.5,4.9,D
17,2141221,-136.0,-1011.0,-48.0,6.8,-9.9,4.4,D
18,2141281,-91.0,-1027.0,0.0,1.9,-2.1,9.2,D
19,2141311,-140.0,-1020.0,-51.0,-3.2,1.8,5.7,D
20,2141371,-113.0,-1002.0,-12.0,3.7,-7.7,-3.7,D
21,2141431,-66.0,-1006.0,40.0,5.8,1.6,-1.4,D
22,2141461,-82.0,-975.0,-39.0,-0.7,-2.1,-1.1,D
23,2141521,-55.0,-978.0,-10.0,-6.5,5.7,-0.7,D
24,2141581,-110.0,-1004.0,-30.0,-7.0,-1.8,-3.1,D
25,2141611,-72.0,-996.0,-40.0,-1.1,-4.2,-4.8,D
26,2141671,-134.0,-1011.0,-15.0,-7.6,-0.8,0.5,D
27,2141761,-82.0,-993.0,-4.0,4.0,-13.3,-15.8,D
28,2141793,-90.0,-985.0,-12.0,-6.1,-6.3,-9.2,D
29,2141820,-84.0,-981.0,-51.0,-0.9,-6.0,-12.2,D
30,2141881,-87.0,-1003.0,-40.0,-4.6,1.3,-6.8,D
31,2141910,-105.0,-1014.0,-19.0,-7.2,11.4,-7.0,D
32,2141970,66.0,-981.0,15.0,-9.0,33.3,-2.8,D
33,2142031,-172.0,-995.0,-35.0,-0.7,77.8,9.3,D
34,2142060,-172.0,-995.0,-35.0,18.3,-3.5,-25.4,D
35,2142121,-58.0,-1009.0,-5.0,4.3,2.5,-4.9,D
36,2142181,0.0,-1011.0,-6.0,3.7,2.6,-10.0,D
37,2142210,14.0,-1009.0,35.0,-0.2,-3.5,-4.2,D
38,2142271,-49.0,-1035.0,-9.0,-4.9,1.4,1.4,D
39,2142331,-36.0,-1033.0,10.0,-1.4,-12.8,-8.3,D
40,2142361,-25.0,-1034.0,12.0,-15.6,-2.6,2.1,D
41,2142422,-9.0,-1009.0,-34.0,-3.1,3.1,0.0,D
42,2142481,-12.0,-1026.0,0.0,-1.6,-3.0,-2.6,D
43,2142511,-26.0,-1019.0,-21.0,-5.6,4.8,1.3,D
44,2142571,-28.0,-1013.0,-8.0,-2.5,3.0,0.9,D
45,2142631,-2.0,-987.0,5.0,-4.6,4.9,3.1,D
46,2142661,-10.0,-994.0,-26.0,-1.0,-0.5,1.7,D
47,2142721,-26.0,-1000.0,-13.0,-3.3,0.7,4.1,D
48,2142781,-36.0,-1017.0,-13.0,-4.6,-3.4,1.9,D
49,2142810,-37.0,-1015.0,-13.0,0.5,1.2,-1.7,D
50,2142871,-21.0,-1004.0,-37.0,0.1,-1.9,-3.6,D
