sr_no,HostTimestamp,NodeTimestamp,X_mGa,Y_mGa,Z_mGa,X_mg,Y_mg,Z_mg,X_dps,Y (dps),Z_dps,move_type
51,344863,44061.0,-201.0,-442.0,-97.0,-46.0,-166.0,1005.0,2.1,-0.2,-2.5,D
52,344892,44067.0,-199.0,-451.0,-91.0,-17.0,-153.0,1032.0,2.3,-1.8,-1.5,D
53,344953,44073.0,-205.0,-444.0,-105.0,-9.0,-161.0,1004.0,-1.1,0.4,0.9,D
54,345012,44080.0,-202.0,-453.0,-88.0,-26.0,-167.0,1017.0,-0.7,-3.0,2.2,D
55,345043,44086.0,-199.0,-453.0,-96.0,-40.0,-181.0,997.0,2.1,-7.0,0.2,D
56,345104,44092.0,-210.0,-447.0,-99.0,0.0,-171.0,1025.0,0.1,-2.9,-0.4,D
57,345169,44098.0,-205.0,-442.0,-94.0,-17.0,-166.0,988.0,-2.0,-1.3,0.4,D
58,345283,44105.0,-199.0,-441.0,-94.0,-19.0,-165.0,1028.0,-0.6,-4.7,2.3,D
59,345283,44111.0,-208.0,-454.0,-91.0,-19.0,-165.0,1028.0,-0.6,-4.7,2.3,D
0,2442750,317146.0,306.0,-178.0,-261.0,-13.0,-965.0,-41.0,-5.6,-4.2,0.9,D
1,2442778,317153.0,316.0,-184.0,-265.0,-91.0,-947.0,-123.0,-2.8,-13.5,1.5,D
2,2442838,317159.0,303.0,-183.0,-264.0,-44.0,-957.0,-67.0,0.7,-7.9,0.5,D
3,2442898,317165.0,304.0,-178.0,-270.0,-95.0,-963.0,-59.0,2.9,-7.3,3.6,D
4,2442928,317171.0,303.0,-177.0,-268.0,-103.0,-964.0,-70.0,-4.4,-0.3,3.7,D
5,2442989,317178.0,288.0,-175.0,-270.0,-74.0,-956.0,-54.0,2.5,-4.9,3.2,D
6,2443049,317184.0,291.0,-175.0,-277.0,-64.0,-961.0,-44.0,8.1,-4.1,0.7,D
7,2443078,317190.0,291.0,-178.0,-271.0,-111.0,-992.0,-13.0,0.5,-3.0,4.6,D
8,2443138,317196.0,300.0,-184.0,-274.0,-132.0,-986.0,-33.0,1.4,-7.2,-3.0,D
9,2443198,317203.0,303.0,-187.0,-277.0,-69.0,-1018.0,51.0,-0.2,-2.5,-6.1,D
10,2443227,317209.0,291.0,-190.0,-277.0,-63.0,-1001.0,-3.0,-6.7,-1.3,-3.0,D
11,2443288,317215.0,288.0,-193.0,-271.0,-119.0,-1024.0,46.0,-2.4,-8.0,-7.7,D
12,2443348,317221.0,298.0,-205.0,-273.0,-56.0,-1004.0,-75.0,-15.4,4.6,-7.4,D
13,2443378,317228.0,306.0,-202.0,-276.0,-123.0,-981.0,-56.0,-2.9,-3.2,-6.0,D
14,2443438,317234.0,297.0,-205.0,-286.0,-58.0,-961.0,-16.0,3.0,-0.1,-9.0,D
15,2443528,317240.0,300.0,-220.0,-288.0,-108.0,-954.0,-90.0,0.5,-9.5,-6.8,D
16,2443528,317246.0,300.0,-220.0,-288.0,-108.0,-954.0,-90.0,10.3,-0.8,-16.0,D
17,2443588,317253.0,298.0,-228.0,-282.0,6.0,-1020.0,5.0,-3.0,-7.2,-9.9,D
18,2443648,317259.0,303.0,-228.0,-285.0,21.0,-1046.0,0.0,4.3,-2.3,-8.0,D
19,2443678,317265.0,303.0,-243.0,-289.0,-7.0,-1035.0,-6.0,5.8,-0.3,-7.8,D
20,2443738,317271.0,300.0,-231.0,-297.0,37.0,-1031.0,4.0,5.8,-0.2,-9.3,D
21,2443798,317278.0,300.0,-232.0,-297.0,-3.0,-1028.0,12.0,3.9,1.9,-6.4,D
22,2443828,317284.0,303.0,-244.0,-300.0,20.0,-1042.0,79.0,1.3,2.3,-5.8,D
23,2443888,317290.0,303.0,-238.0,-297.0,-28.0,-974.0,-57.0,-6.1,-1.6,-6.7,D
24,2443948,317296.0,294.0,-249.0,-303.0,-33.0,-1009.0,7.0,4.2,-2.8,-10.0,D
25,2443977,317303.0,294.0,-249.0,-303.0,-33.0,-1009.0,7.0,-2.7,-3.0,-9.8,D
26,2444038,317309.0,291.0,-253.0,-304.0,46.0,-1006.0,18.0,4.4,0.2,-9.1,D
27,2444098,317315.0,298.0,-258.0,-301.0,82.0,-1029.0,75.0,6.1,-0.7,-8.6,D
28,2444128,317321.0,297.0,-267.0,-303.0,19.0,-1019.0,-8.0,-5.6,1.8,0.9,D
